Date,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18
2016-07-31,23.745223999023438,65.1583480834961,93.08733367919922,108.24497985839844,41.48305892944336,50.220943450927734,48.79484176635742,22.792875289916992,54.02043151855469,128.6380157470703,16.252439498901367,94.07850646972656,122.11133575439453,72.89095306396484,32.575618743896484,20.530105590820312,32.13674545288086,49.02771759033203
2016-08-31,24.175880432128906,66.9886245727539,91.51278686523438,108.77903747558594,44.40371322631836,50.912044525146484,50.67626953125,21.501548767089844,53.408233642578125,127.16495513916016,15.575992584228516,96.09412384033203,116.01431274414062,75.55257415771484,31.07547950744629,20.099637985229492,31.989439010620117,52.13589859008789
2016-09-30,25.899051666259766,68.86072540283203,91.98477935791016,107.61872100830078,44.13499069213867,51.354183197021484,46.28915023803711,21.100889205932617,51.294620513916016,125.4598388671875,15.473119735717773,92.72666931152344,119.38256072998047,77.36761474609375,30.867630004882812,20.42985725402832,31.171833038330078,51.433021545410156
2016-10-31,26.011301040649414,66.59732818603516,89.76010131835938,100.94407653808594,41.83001708984375,53.422611236572266,44.24036407470703,19.75522232055664,51.5975227355957,106.16815185546875,14.017634391784668,88.0648422241211,121.0732421875,77.18986511230469,28.563549041748047,19.834980010986328,31.48591423034668,53.49531173706055
2016-11-30,25.319438934326172,63.75593185424805,95.10249328613281,104.87679290771484,43.58953857421875,53.72574996948242,44.143375396728516,20.023109436035156,54.3843994140625,108.35682678222656,14.956933975219727,92.27351379394531,135.62808227539062,72.33451080322266,29.970388412475586,19.951128005981445,29.963600158691406,62.372135162353516
2016-12-31,26.669864654541016,65.00847625732422,97.81078338623047,109.746826171875,41.93686294555664,55.77616500854492,44.813419342041016,20.436742782592773,55.68495178222656,110.70917510986328,16.466957092285156,99.65706634521484,137.6475067138672,73.14295959472656,32.06051254272461,19.58003807067871,31.048160552978516,67.13347625732422
2017-01-31,27.94325828552246,67.73006439208984,98.49382781982422,107.442138671875,44.498291015625,58.02911376953125,46.806663513183594,19.96483039855957,55.7103385925293,118.63697052001953,16.323701858520508,96.43282318115234,139.41928100585938,77.53978729248047,29.43585205078125,19.0411434173584,31.130537033081055,65.84200286865234
2017-02-28,31.544677734375,70.97102355957031,102.5759506225586,114.52835845947266,47.283470153808594,57.427738189697266,50.575984954833984,21.468643188476562,57.173343658447266,133.6671905517578,16.43036460876465,100.08448791503906,142.2403106689453,82.44287109375,30.12691879272461,20.2365665435791,31.422584533691406,70.8923110961914
2017-03-31,33.22401428222656,70.0202407836914,104.91757202148438,118.35474395751953,45.61092758178711,59.473575592041016,49.31068801879883,21.744571685791016,57.33981704711914,125.0894546508789,16.33600616455078,98.69261932373047,141.06199645996094,83.47332763671875,29.59273910522461,20.56467056274414,31.78204917907715,68.71752166748047
2017-04-30,33.221683502197266,68.05641174316406,113.27146911621094,121.13841247558594,45.06522750854492,61.821468353271484,49.180320739746094,21.560237884521484,60.804447174072266,124.51764678955078,15.581130981445312,100.15902709960938,150.9717254638672,85.68064880371094,27.86876678466797,21.60681915283203,32.598968505859375,68.06038665771484
